;;C's;EH Bildu;EAJ-PNV;PP;PSOE;PODEMOS;GBAI;CCa-PNC;IU-UPeC;MÉS;DL;PODEMOS-COMPROMÍS;NÓS;EN COMÚ;PODEMOS-En Marea-ANOVA-EU;ERC-CATSI
Andalucía;;9.36476804124;;;28.6340721649;41.7646391753;12.4602190722;;;5.71739690722;;;;;;;
;Almería;9.87514563107;;;37.3660194175;38.6703883495;9.25466019417;;;2.99417475728;;;;;;;
;Cádiz;11.1604545455;;;26.1522727273;37.4645454545;14.8934090909;;;7.69727272727;;;;;;;
;Córdoba;8.46;;;27.7556;42.6712;11.0826666667;;;7.83706666667;;;;;;;
;Granada;9.46570588235;;;30.1851764706;40.3942941176;13.2061764706;;;4.93817647059;;;;;;;
;Huelva;8.46341772152;;;25.1373417722;46.76;13.3153164557;;;4.29721518987;;;;;;;
;Jaén;7.26917525773;;;30.2457731959;46.3734020619;9.97494845361;;;4.23288659794;;;;;;;
;Málaga;10.6550485437;;;27.2230097087;39.3584466019;11.6666019417;;;8.9213592233;;;;;;;
;Sevilla;9.94285714286;;;21.7507619048;42.5173333333;16.7923809524;;;6.60361904762;;;;;;;
Aragón;;11.8614363885;;;40.362872777;26.4054309166;13.9443912449;;;4.31917920657;;;;;;;
;Huesca;13.7495544554;;;36.1066336634;25.8325742574;16.7397029703;;;4.35108910891;;;;;;;
;Teruel;11.3862288136;;;44.8077542373;25.1799152542;12.0303813559;;;3.71279661017;;;;;;;
;Zaragoza;10.9424914676;;;39.7170307167;27.7874744027;13.5589078498;;;4.78559726962;;;;;;;
Asturias, Principado de;;9.03987179487;;;32.7482051282;30.4680769231;17.3264102564;;;7.71743589744;;;;;;;
;Asturias;9.03987179487;;;32.7482051282;30.4680769231;17.3264102564;;;7.71743589744;;;;;;;
Balears, Illes;;11.4542253521;;;31.0121126761;16.8298591549;20.695915493;;;2.0976056338;10.7447887324;;;;;;
;Balears, Illes;11.4542253521;;;31.0121126761;16.8298591549;20.695915493;;;2.0976056338;10.7447887324;;;;;;
Canarias;;9.35610526316;;;30.0486315789;24.5988421053;18.2873684211;;12.0874736842;2.87147368421;;;;;;;
;Palmas, Las;10.6905405405;;;29.7435135135;23.7664864865;22.9143243243;;7.05;2.81405405405;;;;;;;
